LocationDesc,LocationAbbr,YearStart,StratificationCategory1,Stratification1,fruit_less1_rate,obesity_rate,overweight_rate,pa_none_rate,pa_strength_rate,vegetables_less1_rate,year_delta_obesity,stratification_gap_income,region,obesity_cat,income_level
Alabama,AL,2011,Age (years),18 - 24,,16.3,27.1,22.5,41.6,,6.899999999999999,9.7,South,<25,
Alabama,AL,2011,Age (years),25 - 34,,35.2,31.9,27.2,28.3,,6.899999999999999,9.7,South,>35,
Alabama,AL,2011,Age (years),35 - 44,,35.5,33.3,29.8,28.3,,6.899999999999999,9.7,South,>35,
Alabama,AL,2011,Age (years),45 - 54,,38.0,35.8,35.3,20.3,,6.899999999999999,9.7,South,>35,
Alabama,AL,2011,Age (years),55 - 64,,36.4,38.9,37.9,16.8,,6.899999999999999,9.7,South,>35,
Alabama,AL,2011,Age (years),65 or older,,27.1,39.0,39.8,17.7,,6.899999999999999,9.7,South,25-30,
Alabama,AL,2011,Education,College graduate,,26.4,36.8,19.6,32.2,,6.899999999999999,9.7,South,25-30,
Alabama,AL,2011,Education,High school graduate,,32.8,34.1,33.5,22.9,,6.899999999999999,9.7,South,30-35,
Alabama,AL,2011,Education,Less than high school,,33.6,33.2,46.3,18.8,,6.899999999999999,9.7,South,30-35,
Alabama,AL,2011,Education,Some college or technical school,,33.8,35.0,31.6,25.4,,6.899999999999999,9.7,South,30-35,
Alabama,AL,2011,Income,"$15,000 - $24,999",,34.8,31.9,38.6,20.2,,6.899999999999999,9.7,South,30-35,Low
Alabama,AL,2011,Income,"$25,000 - $34,999",,35.8,35.7,35.2,23.4,,6.899999999999999,9.7,South,>35,Medium
Alabama,AL,2011,Income,"$35,000 - $49,999",,32.3,36.6,27.9,27.0,,6.899999999999999,9.7,South,30-35,Medium
Alabama,AL,2011,Income,"$50,000 - $74,999",,34.1,36.1,25.6,28.8,,6.899999999999999,9.7,South,30-35,High
Alabama,AL,2011,Income,"$75,000 or greater",,28.8,38.5,20.8,29.4,,6.899999999999999,9.7,South,25-30,High
Alabama,AL,2011,Income,"Less than $15,000",,38.5,28.4,38.5,18.1,,6.899999999999999,9.7,South,>35,Low
Alabama,AL,2011,Race/Ethnicity,Hispanic,,28.6,34.5,42.5,21.4,,6.899999999999999,9.7,South,25-30,
Alabama,AL,2011,Race/Ethnicity,NH American Indian/Alaska Native,,32.9,31.4,41.6,20.6,,6.899999999999999,9.7,South,30-35,
Alabama,AL,2011,Race/Ethnicity,Non-Hispanic 2 or more races,,27.8,30.4,20.1,37.6,,6.899999999999999,9.7,South,25-30,
Alabama,AL,2011,Race/Ethnicity,Non-Hispanic Black,,40.1,30.1,34.8,28.3,,6.899999999999999,9.7,South,>35,
Alabama,AL,2011,Race/Ethnicity,Non-Hispanic Other,,24.4,42.4,30.2,,,6.899999999999999,9.7,South,<25,
Alabama,AL,2011,Race/Ethnicity,Non-Hispanic White,,29.8,36.4,31.5,23.2,,6.899999999999999,9.7,South,25-30,
Alabama,AL,2011,Sex,Female,,31.8,30.5,35.3,19.8,,6.899999999999999,9.7,South,30-35,
Alabama,AL,2011,Sex,Male,,32.3,39.0,29.6,30.1,,6.899999999999999,9.7,South,30-35,
Alabama,AL,2011,Total,Total,,32.0,34.7,32.6,24.7,,6.899999999999999,9.7,South,30-35,
Alabama,AL,2012,Age (years),18 - 24,,23.9,26.4,15.2,,,6.899999999999999,11.899999999999999,South,<25,
Alabama,AL,2012,Age (years),25 - 34,,31.3,35.0,21.4,,,6.899999999999999,11.899999999999999,South,30-35,
Alabama,AL,2012,Age (years),35 - 44,,34.1,34.2,27.9,,,6.899999999999999,11.899999999999999,South,30-35,
Alabama,AL,2012,Age (years),45 - 54,,39.7,35.0,29.6,,,6.899999999999999,11.899999999999999,South,>35,
Alabama,AL,2012,Age (years),55 - 64,,40.3,35.3,34.2,,,6.899999999999999,11.899999999999999,South,>35,
Alabama,AL,2012,Age (years),65 or older,,26.9,40.2,32.0,,,6.899999999999999,11.899999999999999,South,25-30,
Alabama,AL,2012,Education,College graduate,,27.8,38.1,16.2,,,6.899999999999999,11.899999999999999,South,25-30,
Alabama,AL,2012,Education,High school graduate,,33.5,34.5,30.9,,,6.899999999999999,11.899999999999999,South,30-35,
Alabama,AL,2012,Education,Less than high school,,35.2,30.3,43.0,,,6.899999999999999,11.899999999999999,South,>35,
Alabama,AL,2012,Education,Some college or technical school,,34.4,35.6,21.3,,,6.899999999999999,11.899999999999999,South,30-35,
Alabama,AL,2012,Income,"$15,000 - $24,999",,35.2,31.8,30.4,,,6.899999999999999,11.899999999999999,South,>35,Low
Alabama,AL,2012,Income,"$25,000 - $34,999",,29.0,37.5,26.9,,,6.899999999999999,11.899999999999999,South,25-30,Medium
Alabama,AL,2012,Income,"$35,000 - $49,999",,34.5,37.7,26.1,,,6.899999999999999,11.899999999999999,South,30-35,Medium
Alabama,AL,2012,Income,"$50,000 - $74,999",,34.5,36.1,20.6,,,6.899999999999999,11.899999999999999,South,30-35,High
Alabama,AL,2012,Income,"$75,000 or greater",,28.9,38.5,14.3,,,6.899999999999999,11.899999999999999,South,25-30,High
